displayId,created,type,SO_term
BBa_J119405,2017-03-24T12:00:00Z,Regulatory,SO:0000167
BBa_J329006,2017-03-11T12:00:00Z,Signalling,SO:0000804
BBa_J119406,2017-02-27T12:00:00Z,Regulatory,SO:0000167
BBa_J119404,2017-02-23T12:00:00Z,Regulatory,SO:0000167
BBa_J119408,2017-02-21T12:00:00Z,Regulatory,SO:0000167
BBa_K1995950,2017-02-20T12:00:00Z,Other,SO:0000110
BBa_K1995987,2017-02-20T12:00:00Z,Other,SO:0000110
BBa_J119407,2017-02-15T12:00:00Z,Regulatory,SO:0000167
BBa_J100313,2017-01-19T12:00:00Z,Regulatory,SO:0000167
BBa_J100314,2017-01-19T12:00:00Z,Reporter,SO:0000804
BBa_J331017,2016-12-13T12:00:00Z,Coding,SO:0000316
BBa_J331018,2016-12-13T12:00:00Z,RBS,SO:0000139
BBa_J331019,2016-12-13T12:00:00Z,Plasmid,SO:0000155
BBa_J331020,2016-12-13T12:00:00Z,Plasmid,SO:0000155
BBa_J331021,2016-12-13T12:00:00Z,Temporary,SO:0000110
BBa_J331022,2016-12-13T12:00:00Z,Other,SO:0000110
BBa_J331023,2016-12-13T12:00:00Z,Plasmid,SO:0000155
BBa_J331024,2016-12-13T12:00:00Z,Temporary,SO:0000110
BBa_J331025,2016-12-13T12:00:00Z,Temporary,SO:0000110
BBa_J331026,2016-12-13T12:00:00Z,Temporary,SO:0000110
BBa_J331027,2016-12-13T12:00:00Z,Temporary,SO:0000110
BBa_J331028,2016-12-13T12:00:00Z,Temporary,SO:0000110
BBa_M50050,2016-12-11T12:00:00Z,Signalling,SO:0000804
BBa_M50051,2016-12-11T12:00:00Z,Signalling,SO:0000804
BBa_M50052,2016-12-11T12:00:00Z,Plasmid,SO:0000155
BBa_M50036,2016-12-11T12:00:00Z,Protein_Domain,SO:0000417
BBa_M50037,2016-12-11T12:00:00Z,Protein_Domain,SO:0000417
BBa_M50053,2016-12-11T12:00:00Z,Composite,SO:0000804
BBa_M50054,2016-12-11T12:00:00Z,Coding,SO:0000316
BBa_M50055,2016-12-11T12:00:00Z,Composite,SO:0000804
BBa_M50056,2016-12-11T12:00:00Z,Composite,SO:0000804
BBa_M50049,2016-12-10T12:00:00Z,Terminator,SO:0000141
BBa_J331016,2016-12-10T12:00:00Z,Plasmid,SO:0000155
BBa_M50048,2016-12-10T12:00:00Z,Regulatory,SO:0000167
BBa_J331012,2016-12-09T12:00:00Z,Other,SO:0000110
BBa_S05377,2016-12-09T12:00:00Z,Intermediate,SO:0000804
BBa_J331013,2016-12-09T12:00:00Z,Temporary,SO:0000110
BBa_S05378,2016-12-09T12:00:00Z,Intermediate,SO:0000804
BBa_S05379,2016-12-09T12:00:00Z,Intermediate,SO:0000804
BBa_S05380,2016-12-09T12:00:00Z,Intermediate,SO:0000804
BBa_S05381,2016-12-09T12:00:00Z,Intermediate,SO:0000804
BBa_S05382,2016-12-09T12:00:00Z,Intermediate,SO:0000804
